Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
54,6,197.202.24.164,205.195.153.178,A,1524142800.000313,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000315,49541.28440366972477064220183
42,17,42.91.173.163,192.31.4.45,,1524142800.000316,9174.311926605504587155963303
66,6,213.176.48.91,205.217.182.56,PA,1524142800.00032,1834.862385321100917431192661
66,6,62.241.185.32,135.79.171.142,A,1524142800.000323,1834.862385321100917431192661
66,6,218.225.236.252,16.48.144.209,A,1524142800.000329,3669.724770642201834862385321
42,17,57.114.8.201,197.18.21.21,,1524142800.000335,1834.862385321100917431192661
66,6,135.243.27.110,192.132.94.41,A,1524142800.000339,3669.724770642201834862385321
66,6,62.193.196.86,237.42.73.100,PA,1524142800.00034,3669.724770642201834862385321
66,6,44.56.139.124,205.167.104.5,A,1524142800.000344,1834.862385321100917431192661
66,6,16.12.80.234,237.42.73.104,PA,1524142800.000346,3669.724770642201834862385321
66,6,44.68.128.199,237.42.73.97,A,1524142800.00035,11009.17431192660550458715596
66,6,135.243.27.110,192.132.94.41,A,1524142800.000352,3669.724770642201834862385321
66,6,44.68.128.199,237.42.73.97,A,1524142800.000353,11009.17431192660550458715596
54,6,119.132.120.171,194.42.39.245,RA,1524142800.000354,1834.862385321100917431192661
66,6,131.26.53.106,135.79.171.145,A,1524142800.000355,3669.724770642201834862385321
66,6,131.26.53.106,135.79.171.145,A,1524142800.000355,3669.724770642201834862385321
66,6,16.12.80.234,237.42.73.104,PA,1524142800.000355,3669.724770642201834862385321
66,6,47.186.171.47,138.152.125.13,A,1524142800.000356,1834.862385321100917431192661
54,6,131.25.220.58,205.125.100.28,A,1524142800.000366,9174.311926605504587155963303
66,6,62.193.196.86,237.42.73.100,PA,1524142800.000367,3669.724770642201834862385321
66,6,237.42.71.24,237.42.73.105,A,1524142800.00037,1834.862385321100917431192661
54,6,195.67.140.98,244.31.127.233,PA,1524142800.000371,1834.862385321100917431192661
54,6,131.25.220.58,205.125.100.28,A,1524142800.000374,9174.311926605504587155963303
66,6,213.175.253.244,205.239.62.157,A,1524142800.000377,1834.862385321100917431192661
54,6,112.81.188.215,205.126.32.123,A,1524142800.000379,3669.724770642201834862385321
54,6,112.81.188.215,205.126.32.123,PA,1524142800.00038,3669.724770642201834862385321
54,6,21.120.96.244,198.193.186.101,A,1524142800.000382,1834.862385321100917431192661
54,6,33.228.141.156,192.31.13.13,FPA,1524142800.000382,1834.862385321100917431192661
66,6,44.201.136.180,205.213.189.180,A,1524142800.000383,1834.862385321100917431192661
54,6,119.132.120.174,207.183.249.106,A,1524142800.000386,1834.862385321100917431192661
66,6,223.7.30.181,237.42.73.106,PA,1524142800.000388,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000391,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000393,49541.28440366972477064220183
66,6,47.11.174.45,237.42.73.99,A,1524142800.000395,11009.17431192660550458715596
42,17,78.58.10.212,197.18.21.29,,1524142800.000396,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000396,49541.28440366972477064220183
54,6,198.140.14.147,64.5.155.143,A,1524142800.000398,1834.862385321100917431192661
54,6,127.45.164.99,212.64.83.39,A,1524142800.000398,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000398,49541.28440366972477064220183
54,6,112.96.67.220,192.182.214.195,PA,1524142800.000399,1834.862385321100917431192661
66,6,47.11.174.45,237.42.73.99,A,1524142800.0004,11009.17431192660550458715596
66,6,251.103.139.24,139.113.197.164,PA,1524142800.000401,1834.862385321100917431192661
66,6,237.42.93.22,237.42.73.97,A,1524142800.000404,3669.724770642201834862385321
42,17,42.91.173.163,192.31.4.45,,1524142800.000406,9174.311926605504587155963303
66,6,237.42.93.22,237.42.73.97,PA,1524142800.000407,3669.724770642201834862385321
54,6,197.150.109.193,205.203.242.6,PA,1524142800.000407,1834.862385321100917431192661
54,6,75.150.190.253,192.31.17.96,A,1524142800.000407,3669.724770642201834862385321
66,6,44.68.128.199,237.42.73.97,A,1524142800.000411,11009.17431192660550458715596
66,6,44.68.128.199,237.42.73.97,A,1524142800.000412,11009.17431192660550458715596
66,6,213.129.67.35,16.233.87.40,A,1524142800.000416,1834.862385321100917431192661
66,6,16.41.181.45,205.112.3.153,A,1524142800.00042,3669.724770642201834862385321
54,6,210.8.150.167,205.112.172.102,A,1524142800.000421,3669.724770642201834862385321
66,6,16.41.181.45,205.112.3.153,A,1524142800.000422,3669.724770642201834862385321
54,6,122.16.143.82,251.215.148.150,A,1524142800.000429,29357.79816513761467889908257
54,6,210.8.150.167,205.112.172.102,A,1524142800.00043,3669.724770642201834862385321
54,6,122.16.143.82,251.215.148.150,A,1524142800.000432,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000433,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000434,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000436,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000438,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000439,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.00044,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000442,29357.79816513761467889908257
66,6,197.16.34.18,50.123.66.182,PA,1524142800.000443,3669.724770642201834862385321
54,6,122.16.143.82,251.215.148.150,A,1524142800.000445,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.00045,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000451,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000452,29357.79816513761467889908257
66,6,125.20.145.94,64.5.155.228,PA,1524142800.000454,3669.724770642201834862385321
42,17,47.38.52.28,205.195.120.100,,1524142800.000455,1834.862385321100917431192661
54,6,122.16.143.82,251.215.148.150,A,1524142800.000455,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000457,29357.79816513761467889908257
54,6,122.16.143.82,251.215.148.150,A,1524142800.000458,29357.79816513761467889908257
54,6,15.43.163.114,205.66.136.143,A,1524142800.000459,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.00046,49541.28440366972477064220183
66,6,213.179.59.35,240.235.108.141,PA,1524142800.000462,1834.862385321100917431192661
66,6,123.188.127.41,50.253.202.204,A,1524142800.000462,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000464,49541.28440366972477064220183
54,6,13.192.92.58,50.122.123.24,A,1524142800.000466,3669.724770642201834862385321
42,17,147.246.196.228,212.64.145.53,,1524142800.000467,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000467,49541.28440366972477064220183
54,6,131.25.220.58,205.125.100.28,A,1524142800.000469,9174.311926605504587155963303
54,6,197.202.24.164,205.195.153.178,A,1524142800.00047,49541.28440366972477064220183
54,6,206.163.133.99,198.229.149.74,S,1524142800.000472,1834.862385321100917431192661
58,6,215.144.69.137,194.207.242.160,SA,1524142800.000472,1834.862385321100917431192661
54,6,13.192.92.58,50.122.123.24,A,1524142800.000472,3669.724770642201834862385321
74,6,75.91.211.149,237.42.73.107,SA,1524142800.000475,1834.862385321100917431192661
66,6,197.16.34.18,50.123.66.182,FA,1524142800.000477,3669.724770642201834862385321
54,6,131.25.220.58,205.125.100.28,A,1524142800.00048,9174.311926605504587155963303
74,6,135.243.69.76,207.20.29.233,SA,1524142800.000482,1834.862385321100917431192661
54,6,131.25.220.58,205.125.100.28,A,1524142800.000483,9174.311926605504587155963303
66,6,47.100.38.64,237.42.73.97,A,1524142800.000491,1834.862385321100917431192661
78,6,44.58.61.23,138.152.213.52,A,1524142800.000492,1834.862385321100917431192661
66,6,124.101.52.206,135.79.171.167,PA,1524142800.000492,1834.862385321100917431192661
54,6,44.222.17.108,205.203.1.125,A,1524142800.000493,1834.862385321100917431192661
66,6,47.11.174.45,237.42.73.99,A,1524142800.000494,11009.17431192660550458715596
66,6,47.11.174.45,237.42.73.99,A,1524142800.000495,11009.17431192660550458715596
66,6,124.101.52.206,135.79.171.128,PA,1524142800.000496,1834.862385321100917431192661
66,6,44.68.128.199,237.42.73.97,A,1524142800.000502,11009.17431192660550458715596
54,6,54.123.125.154,194.101.221.181,S,1524142800.000504,1834.862385321100917431192661
66,6,44.68.128.199,237.42.73.97,A,1524142800.000509,11009.17431192660550458715596
42,17,122.140.16.251,231.225.123.74,,1524142800.000511,3669.724770642201834862385321
74,6,16.12.80.225,237.42.73.100,SA,1524142800.000512,1834.862385321100917431192661
66,6,114.219.72.182,199.224.156.157,A,1524142800.000516,3669.724770642201834862385321
42,17,91.232.108.21,197.18.21.156,,1524142800.000519,1834.862385321100917431192661
66,6,58.42.58.170,198.209.185.201,PA,1524142800.00052,1834.862385321100917431192661
66,6,218.225.82.126,139.113.197.84,A,1524142800.000526,3669.724770642201834862385321
66,6,114.219.72.182,199.224.156.157,A,1524142800.000527,3669.724770642201834862385321
42,17,77.165.186.123,212.227.205.229,,1524142800.000534,1834.862385321100917431192661
66,6,241.249.128.192,251.215.148.150,A,1524142800.000535,3669.724770642201834862385321
54,6,203.124.194.171,50.65.234.161,A,1524142800.000537,1834.862385321100917431192661
66,6,218.225.82.126,139.113.197.84,A,1524142800.000537,3669.724770642201834862385321
66,6,241.249.128.192,251.215.148.150,A,1524142800.00054,3669.724770642201834862385321
66,6,197.5.179.127,192.182.209.145,A,1524142800.000541,3669.724770642201834862385321
42,17,42.91.173.163,192.31.4.45,,1524142800.000541,9174.311926605504587155963303
66,6,125.20.145.94,64.5.155.228,A,1524142800.000543,3669.724770642201834862385321
42,17,73.155.112.250,205.167.130.2,,1524142800.000544,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000546,49541.28440366972477064220183
66,6,197.5.179.127,192.182.209.145,PA,1524142800.000547,3669.724770642201834862385321
42,17,111.6.84.73,198.247.242.31,,1524142800.000547,1834.862385321100917431192661
54,6,16.225.222.175,215.167.248.138,A,1524142800.000547,1834.862385321100917431192661
